đt,điện thoại
acc,account
trc,trước
chs,chẳng hiểu sao
qá,quá
ntn,như thế nào
wá,quá
zậy,vậy
zô,vô
ytb,youtube
xl,xin lỗi
face,facebook
vv,vui vẻ
ns,nói
iu,yêu
in4,thông tin
sub,subcribe
kh,không
zạ,dạ
oy,rồi
jo,giờ
bsvv,buổi sáng vui vẻ
troai,trai
wa,quá
e,em
ik,ý
ji,gì
ce,chị em
lm,làm
đz,đẹp giai
sr,sorry
ib,inbox
hoy,thôi
k,không
vd,ví dụ
a,anh
cũng z,cũng vậy
z là,vậy là
fen,friend
cty,công ty
on lai,online
kô,không
hqua,hôm qua
xog,xong
uh,ừ
uk,ừ
nhoé,nhé
biet,biết
quí,quý
stk,số tài khoản
hong kong,hồng kông
đươc,được
nghành,ngành
nvqs,nghĩa vụ quân sự
ngừoi,người
trog,trong
tgian,thời gian
biêt,biết
fải,phải
nguời,người
bth,bình thường
tgdd,thế giới di động
khg,không
nhưg,nhưng
thpt,trung học phổ thông
thằg,thằng
đuợc,được
dc,được
đc,được
ah,à
àh,à
onl,online
zô,vô
sđt,số điện thoại
klq,không liên quan
bít,biết
v,vậy
mìk,mình
mún,muốn
qui,quy
đê,đi
